datetime,aod_longitude,aod_latitude,station_longitude,station_latitude,AOD,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
2025-05-10,106.5999984741211,-6.099998474121094,106.7525,-6.20737,1.5247999429702759,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.099998474121094,106.7525,-6.20737,1.0964000225067139,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.099998474121094,106.7525,-6.20737,0.889799952507019,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.099998474121094,106.7525,-6.20737,0.9585999846458435,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.099998474121094,106.7525,-6.20737,0.0,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.099998474121094,106.7525,-6.20737,1.20579993724823,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.099998474121094,106.7525,-6.20737,0.8867999911308289,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.099998474121094,106.7525,-6.20737,0.972000002861023,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.099998474121094,106.7525,-6.20737,1.0992000102996826,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.150001525878906,106.7525,-6.20737,1.2623999118804932,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.150001525878906,106.7525,-6.20737,0.0,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.150001525878906,106.7525,-6.20737,0.8965999484062195,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.150001525878906,106.7525,-6.20737,0.913599967956543,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.150001525878906,106.7525,-6.20737,0.6398000121116638,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.150001525878906,106.7525,-6.20737,0.8661999702453613,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.150001525878906,106.7525,-6.20737,0.7805999517440796,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.150001525878906,106.7525,-6.20737,0.8977999687194824,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.150001525878906,106.7525,-6.20737,1.1904000043869019,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.200004577636719,106.7525,-6.20737,0.9769999980926514,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.200004577636719,106.7525,-6.20737,1.2239999771118164,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.200004577636719,106.7525,-6.20737,0.9101999998092651,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.200004577636719,106.7525,-6.20737,0.8375999927520752,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.200004577636719,106.7525,-6.20737,0.818399965763092,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.200004577636719,106.7525,-6.20737,0.8276000022888184,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.200004577636719,106.7525,-6.20737,0.7879999876022339,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.200004577636719,106.7525,-6.20737,0.8269999623298645,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.200004577636719,106.7525,-6.20737,0.9368000030517578,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.25,106.7525,-6.20737,0.9781999588012695,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.25,106.7525,-6.20737,1.1305999755859375,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.25,106.7525,-6.20737,0.7021999955177307,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.75,-6.25,106.7525,-6.20737,1.2111999988555908,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.80000305175781,-6.25,106.7525,-6.20737,0.882599949836731,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.8499984741211,-6.25,106.7525,-6.20737,0.9603999853134155,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.9000015258789,-6.25,106.7525,-6.20737,0.8375999927520752,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.94999694824219,-6.25,106.7525,-6.20737,0.7504000067710876,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,107.0,-6.25,106.7525,-6.20737,0.983199954032898,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.5999984741211,-6.3000030517578125,106.7525,-6.20737,1.5509999990463257,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.6500015258789,-6.3000030517578125,106.7525,-6.20737,1.170799970626831,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
2025-05-10,106.69999694824219,-6.3000030517578125,106.7525,-6.20737,1.0634000301361084,33.4,26.4,29.1,41.3,26.4,33.3,24.3,75.9,11.9,62.5,18.0,16.9,351.0,,62.2,9.4,213.7,18.5,9.0
