latitude,longitude,AOT_L2_Mean,AOT_L2_Num,AE_L2_Mean,AE_L2_Num,AOT_L3_Merged_Mean,AOT_L3_Merged_Num,AE_L3_Merged_Mean,AE_L3_Merged_Num
-6.4500046,106.9,0.363,7.0,1.2242,7.0,,0.0,,0.0
-6.4500046,106.95,0.4542,10.0,1.3836,10.0,,0.0,,0.0
-6.4500046,107.0,0.68939996,10.0,1.3537999,10.0,,0.0,,0.0
-6.5,106.6,0.1998,5.0,1.2638999,5.0,,0.0,,0.0
-6.5,106.65,0.9916,17.0,1.27,17.0,,0.0,,0.0
-6.5,106.7,0.498,8.0,1.2749,8.0,,0.0,,0.0
-6.5,106.75,0.4752,6.0,1.4286,6.0,,0.0,,0.0
-6.5,106.8,0.84239995,6.0,1.0321,6.0,,0.0,,0.0
-6.5,106.85,0.5632,5.0,1.0584999,5.0,,0.0,,0.0
-6.5,106.9,0.96239996,5.0,1.4627,5.0,,0.0,,0.0
-6.5,106.95,0.61899996,10.0,1.2990999,10.0,,0.0,,0.0
-6.5,107.0,1.0208,7.0,1.4052999,7.0,,0.0,,0.0
